tensor(3.8518, grad_fn=<NllLoss2DBackward>)
tensor(3.1991, grad_fn=<NllLoss2DBackward>)
tensor(4.0181, grad_fn=<NllLoss2DBackward>)
tensor(3.1823, grad_fn=<NllLoss2DBackward>)
tensor(3.5618, grad_fn=<NllLoss2DBackward>)
tensor(3.3501, grad_fn=<NllLoss2DBackward>)
tensor(3.4090, grad_fn=<NllLoss2DBackward>)
tensor(4.3378, grad_fn=<NllLoss2DBackward>)
tensor(3.9670, grad_fn=<NllLoss2DBackward>)
tensor(2.9464, grad_fn=<NllLoss2DBackward>)
tensor(3.1547, grad_fn=<NllLoss2DBackward>)
tensor(3.5863, grad_fn=<NllLoss2DBackward>)
tensor(3.4142, grad_fn=<NllLoss2DBackward>)
tensor(3.3490, grad_fn=<NllLoss2DBackward>)
tensor(3.0771, grad_fn=<NllLoss2DBackward>)
tensor(3.3248, grad_fn=<NllLoss2DBackward>)
tensor(3.3276, grad_fn=<NllLoss2DBackward>)
tensor(2.9207, grad_fn=<NllLoss2DBackward>)
tensor(4.1623, grad_fn=<NllLoss2DBackward>)
tensor(3.2921, grad_fn=<NllLoss2DBackward>)
tensor(3.0701, grad_fn=<NllLoss2DBackward>)
tensor(3.1341, grad_fn=<NllLoss2DBackward>)
tensor(3.3772, grad_fn=<NllLoss2DBackward>)
tensor(3.1641, grad_fn=<NllLoss2DBackward>)
tensor(3.3411, grad_fn=<NllLoss2DBackward>)
tensor(2.8177, grad_fn=<NllLoss2DBackward>)
tensor(3.4638, grad_fn=<NllLoss2DBackward>)
tensor(2.9566, grad_fn=<NllLoss2DBackward>)
tensor(3.1170, grad_fn=<NllLoss2DBackward>)
tensor(2.5816, grad_fn=<NllLoss2DBackward>)
tensor(3.2472, grad_fn=<NllLoss2DBackward>)
tensor(3.6848, grad_fn=<NllLoss2DBackward>)
tensor(3.6853, grad_fn=<NllLoss2DBackward>)
tensor(3.5688, grad_fn=<NllLoss2DBackward>)
tensor(2.8034, grad_fn=<NllLoss2DBackward>)
tensor(3.6325, grad_fn=<NllLoss2DBackward>)
tensor(3.3390, grad_fn=<NllLoss2DBackward>)
tensor(3.4212, grad_fn=<NllLoss2DBackward>)
tensor(2.9877, grad_fn=<NllLoss2DBackward>)
tensor(3.3796, grad_fn=<NllLoss2DBackward>)
tensor(2.6599, grad_fn=<NllLoss2DBackward>)
