tensor(0.0635, grad_fn=<MeanBackward0>)
tensor(0.0722, grad_fn=<MeanBackward0>)
tensor(0.0748, grad_fn=<MeanBackward0>)
tensor(0.0539, grad_fn=<MeanBackward0>)
tensor(0.0507, grad_fn=<MeanBackward0>)
tensor(0.0578, grad_fn=<MeanBackward0>)
tensor(0.0412, grad_fn=<MeanBackward0>)
tensor(0.0570, grad_fn=<MeanBackward0>)
tensor(0.0495, grad_fn=<MeanBackward0>)
tensor(0.0574, grad_fn=<MeanBackward0>)
tensor(0.0476, grad_fn=<MeanBackward0>)
tensor(0.0446, grad_fn=<MeanBackward0>)
tensor(0.0445, grad_fn=<MeanBackward0>)
tensor(0.0509, grad_fn=<MeanBackward0>)
tensor(0.0566, grad_fn=<MeanBackward0>)
tensor(0.0581, grad_fn=<MeanBackward0>)
tensor(0.0443, grad_fn=<MeanBackward0>)
tensor(0.0520, grad_fn=<MeanBackward0>)
tensor(0.0568, grad_fn=<MeanBackward0>)
tensor(0.0482, grad_fn=<MeanBackward0>)
tensor(0.0487, grad_fn=<MeanBackward0>)
tensor(0.0453, grad_fn=<MeanBackward0>)
tensor(0.0532, grad_fn=<MeanBackward0>)
tensor(0.0656, grad_fn=<MeanBackward0>)
tensor(0.0442, grad_fn=<MeanBackward0>)
tensor(0.0547, grad_fn=<MeanBackward0>)
tensor(0.0534, grad_fn=<MeanBackward0>)
tensor(0.0543, grad_fn=<MeanBackward0>)
tensor(0.0561, grad_fn=<MeanBackward0>)
tensor(0.0466, grad_fn=<MeanBackward0>)
tensor(0.0487, grad_fn=<MeanBackward0>)
tensor(0.0539, grad_fn=<MeanBackward0>)
tensor(0.0496, grad_fn=<MeanBackward0>)
tensor(0.0464, grad_fn=<MeanBackward0>)
tensor(0.0513, grad_fn=<MeanBackward0>)
tensor(0.0387, grad_fn=<MeanBackward0>)
tensor(0.0507, grad_fn=<MeanBackward0>)
tensor(0.0473, grad_fn=<MeanBackward0>)
tensor(0.0495, grad_fn=<MeanBackward0>)
tensor(0.0465, grad_fn=<MeanBackward0>)
tensor(0.0579, grad_fn=<MeanBackward0>)
tensor(0.0291, grad_fn=<MeanBackward0>)
tensor(0.0395, grad_fn=<MeanBackward0>)
tensor(0.0404, grad_fn=<MeanBackward0>)
tensor(0.0464, grad_fn=<MeanBackward0>)
tensor(0.0299, grad_fn=<MeanBackward0>)
tensor(0.0556, grad_fn=<MeanBackward0>)
tensor(0.0595, grad_fn=<MeanBackward0>)
tensor(0.0417, grad_fn=<MeanBackward0>)
tensor(0.0492, grad_fn=<MeanBackward0>)
tensor(0.0358, grad_fn=<MeanBackward0>)
tensor(0.0438, grad_fn=<MeanBackward0>)
tensor(0.0400, grad_fn=<MeanBackward0>)
